LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,LATITUDE,LONGITUDE
0002199685-0002-5,ROBERTA C CRUZ,LA FRUTERIA,1252 W TEMPLE STREET,LOS ANGELES,90026-5652,1252 TEMPLE 90026-5652,1252 W TEMPLE STREET,LOS ANGELES,90026-5652,424400.0,Grocery & related products,1,02/08/2013,,"(34.0659, -118.2538)",34.0659,-118.2538
0000905857-0001-0,ASTROCHEF INC,"PEGASUS FOODS, INC.",1111 MATEO STREET,LOS ANGELES,90021-1717,1111 MATEO 90021-1717,POST OFFICE BOX #86404,LOS ANGELES,90086-0404,424400.0,Grocery & related products,14,06/27/1998,,"(34.0302, -118.2322)",34.0302,-118.2322
0002765684-0001-7,CIRILO MONTENEGRO,MONARCAS MINI MARKET,3601 S SAN PEDRO STREET,LOS ANGELES,90011-5613,3601 SAN PEDRO 90011-5613,705 E 41ST STREET APARTMENT #3,LOS ANGELES,90011-2740,445210.0,Meat markets,9,07/28/2014,,"(34.0135, -118.2652)",34.0135,-118.2652
0002464407-0001-1,MOHAMMED NAZRUL ISLAM / ABDUL QUDDUS,PRINCE MARKET,6901 S FIGUEROA STREET,LOS ANGELES,90003-1715,6901 FIGUEROA 90003-1715,445 S ARDMORE AVENUE APARTMENT #106,LOS ANGELES,90020-3265,445100.0,Grocery stores (including supermarkets & convenience stores without gas),8,09/23/2009,,"(33.9773, -118.2826)",33.9773,-118.2826
0002432594-0001-5,LIZBETH DEL CARMEN NAVARRO GOMEZ,CHALLIO'S MEAT MARKET & DELI,4400 AVALON BLVD,LOS ANGELES,90011-5627,4400 AVALON 90011-5627,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),9,05/01/2009,,"(34.0038, -118.2652)",34.0038,-118.2652
0002428326-0001-0,DARIO CENTENO ROSALES,,5419 CARLIN STREET,LOS ANGELES,90016-3317,5419 CARLIN 90016-3317,,,,445230.0,Fruit & vegetable markets,10,01/01/2006,,"(34.0304, -118.3615)",34.0304,-118.3615
0000572697-0001-9,MANUEL A ORTEGA / MAXIMIANA BARAJAS,TODOS MARKET,1888 W ADAMS BLVD,LOS ANGELES,90018-2747,1888 ADAMS 90018-2747,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),8,01/01/1987,,"(34.0326, -118.3057)",34.0326,-118.3057
0002629813-0001-1,ROSARIO MENDOZA,CHARLTON,3235 GRANADA STREET,LOS ANGELES,90065-1701,3235 GRANADA 90065-1701,,,,445230.0,Fruit & vegetable markets,1,08/07/2012,,"(34.096, -118.2285)",34.096,-118.2285
0002669649-0001-9,HOLLYWOOD SUPER MARKET INC,YUCCA SUPERMARKET,1815 N CAHUENGA BLVD,LOS ANGELES,90028-5001,1815 CAHUENGA 90028-5001,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),13,03/18/2013,,"(34.1043, -118.3299)",34.1043,-118.3299
0000625550-0001-0,"C & C LIQUOR, LLC",C/C LIQUOR,18089 VENTURA BLVD,ENCINO,91316-3515,18089 VENTURA 91316-3515,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),5,11/01/1987,,"(34.1653, -118.527)",34.1653,-118.527
0000349830-0001-2,SAHNI ENTERPRISES,7-ELEVEN STORE 18534C,5763 HOLLYWOOD BLVD,LOS ANGELES,90028-6719,5763 HOLLYWOOD 90028-6719,POST OFFICE BOX #219088,DALLAS,75221-9088,445100.0,Grocery stores (including supermarkets & convenience stores without gas),13,03/29/1996,,"(34.1016, -118.3149)",34.1016,-118.3149
0002608423-0001-2,LOUIS WHARTON,GO SEE LOU,13234 HEDDA PLACE,CERRITOS,90703-6147,13234 HEDDA 90703-6147,,,,424400.0,Grocery & related products,0,04/28/2012,,"(33.8647, -118.0494)",33.8647,-118.0494
0002680430-0001-5,MARIA ANTONIA HERNANDEZ,LATINOS GOATEMALTECA MARKET,2825 W PICO BLVD,LOS ANGELES,90006-3910,2825 PICO 90006-3910,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),10,05/08/2013,,"(34.0472, -118.301)",34.0472,-118.301
0000949275-0001-3,ALBERTO H NAVA,BETOS MARKET,2252 VENICE BLVD,LOS ANGELES,90006-5115,2252 VENICE 90006-5115,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),10,10/19/1998,,"(34.0435, -118.3077)",34.0435,-118.3077
0002709040-0002-4,MALTI KASONDRA,7-ELEVEN STORE 20336D,16929 ROSCOE BLVD,NORTHRIDGE,91343-6112,16929 ROSCOE 91343-6112,POST OFFICE BOX #219088,DALLAS,75221-9088,445100.0,Grocery stores (including supermarkets & convenience stores without gas),6,11/13/2013,,"(34.2212, -118.5015)",34.2212,-118.5015
0000573238-0001-6,RAFAEL TRUJILLO,TRUJILLOS PRODUCE,1500 E OLYMPIC BLVD ##13,LOS ANGELES,90021-1967,1500 OLYMPIC 90021-1967,2911 BUDAU AVENUE,LOS ANGELES,90032-2801,445230.0,Fruit & vegetable markets,14,08/04/1989,,"(34.0306, -118.2425)",34.0306,-118.2425
0002174964-0001-1,BENJAR BANNAPANYA,,8503 ELBURG STREET #C,PARAMOUNT,90723-2897,8503 ELBURG 90723-2897,,,,445220.0,Fish & seafood markets,0,09/15/2006,,"(33.9049, -118.1513)",33.9049,-118.1513
0000528916-0001-1,C & P ALAGH CORPORATION,7-ELEVEN 2126-19985,4220 EAGLE ROCK BLVD,LOS ANGELES,90065-4405,4220 EAGLE ROCK 90065-4405,POST OFFICE BOX #219088,DALLAS,75221-9088,445100.0,Grocery stores (including supermarkets & convenience stores without gas),1,06/04/1986,,"(34.1218, -118.2249)",34.1218,-118.2249
0002599802-0001-2,SERGIO RUIZ-MOYA,RUIZ MINI MARKET,4824 1/2 AVALON BLVD,LOS ANGELES,90011-4046,4824 AVALON 90011-4046,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),9,02/14/2012,,"(33.9989, -118.2652)",33.9989,-118.2652
0002640934-0001-9,MOHAMMED KAGZI,7-ELEVEN STORE 34979A,1550 GLENDALE BLVD,LOS ANGELES,90026-2431,1550 GLENDALE 90026-2431,POST OFFICE BOX #219088,DALLAS,75221-9088,445100.0,Grocery stores (including supermarkets & convenience stores without gas),13,10/16/2012,,"(34.0831, -118.2599)",34.0831,-118.2599
0002765643-0001-8,EL RANCHO 3 STARS INC,EL RANCHO MARKET,1115 N ALVARADO STREET,LOS ANGELES,90026-3108,1115 ALVARADO 90026-3108,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),13,08/15/2014,,"(34.0777, -118.2634)",34.0777,-118.2634
0000659313-0002-9,CALIFORNIA CERTIFIED FARMERS MARKETS INC,,1800 AVENUE OF THE STARS,CENTURY CITY,90067-4201,1800 AVENUE OF THE STARS 90067-4201,23501 PARK SORRENTO #105,CALABASAS,91302-1373,445230.0,Fruit & vegetable markets,5,10/01/2000,,"(34.0611, -118.4182)",34.0611,-118.4182
0000492934-0001-5,HAMLIN'S CUSTOM BEVERAGES INC,HAMLIN'S CUSTOM BEVERAGES,2631 S LA CIENEGA BLVD,LOS ANGELES,90034-2603,2631 LA CIENEGA 90034-2603,,,,424400.0,Grocery & related products,10,07/01/1997,,"(34.0343, -118.3774)",34.0343,-118.3774
0000769083-0006-4,GELSON'S MARKETS,GELSONS MARKET #395,15424 W SUNSET BLVD,PACIFIC PALISADES,90272-3539,15424 SUNSET 90272-3539,POST OFFICE BOX #512256,LOS ANGELES,90051-0256,445100.0,Grocery stores (including supermarkets & convenience stores without gas),11,08/08/1979,,"(34.048, -118.5272)",34.048,-118.5272
0000810450-0001-0,YAMAMOTO FISH CO,,512 STANFORD AVENUE,LOS ANGELES,90013-2123,512 STANFORD 90013-2123,,,,424400.0,Grocery & related products,14,03/01/2003,,"(34.0423, -118.2413)",34.0423,-118.2413
0000124123-0001-5,"AZTECA FARMS, INC",AZTECA FARMS,746 MARKET COURT SPACE #28-31,LOS ANGELES,90021-1103,746 MARKET 90021-1103,,,,445230.0,Fruit & vegetable markets,14,02/01/2003,,"(34.0347, -118.2416)",34.0347,-118.2416
0000737392-0001-3,MIN HWANG BO,H BEE FARM,700 S WILTON PLACE,LOS ANGELES,90005-3508,700 WILTON 90005-3508,,,,424400.0,Grocery & related products,4,01/01/1998,,"(34.0598, -118.3143)",34.0598,-118.3143
0000939555-0001-4,CHERYL LEA CANTER-VALESELLA,BAKED IT MYSELF,14543 ERWIN STREET,VAN NUYS,91411-2341,14543 ERWIN 91411-2341,,,,424400.0,Grocery & related products,6,11/01/1998,,"(34.1836, -118.4499)",34.1836,-118.4499
0000169957-0001-1,JUN YEN LIAW/WEN-YIN JAO LIAW,FRIENDLY MARKET,2921 E 8TH STREET,LOS ANGELES,90023-2128,2921 8TH 90023-2128,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),14,12/05/1978,,"(34.0254, -118.2133)",34.0254,-118.2133
0000939048-0001-3,EUREKA SAUSAGE INC,,6839 TUJUNGA AVENUE,N HOLLYWOOD,91605-6312,6839 TUJUNGA 91605-6312,,,,424400.0,Grocery & related products,2,11/18/1998,,"(34.195, -118.379)",34.195,-118.379
0000997133-0001-9,TERRENCE HERZIK,D/T DIVING,821 CALLE DE ARBOLES,REDONDO BEACH,90277-6713,821 CALLE DE ARBOLES 90277,,,,424400.0,Grocery & related products,0,01/01/1985,,"(33.8046, -118.3768)",33.8046,-118.3768
0000788165-0001-9,ROCKVIEW DAIRIES INC,ROCKVIEW MILK FARMS,7011 STEWART AND GRAY ROAD,DOWNEY,90241-4347,7011 STEWART AND GRAY 90241-4347,POST OFFICE BOX #668,DOWNEY,90241-0668,424400.0,Grocery & related products,0,01/01/1966,,"(33.9438, -118.161)",33.9438,-118.161
0000645182-0001-0,ZBORN INC,OLIVE FRESH GARDEN,12521 OXNARD STREET #2FL,N HOLLYWOOD,91606-4416,12521 OXNARD 91606-4416,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),2,08/01/2002,,"(34.1794, -118.4056)",34.1794,-118.4056
0000172098-0001-2,MAKICH GRIGORIAN,GAYANE WHOLESALE,4800 S BROADWAY,LOS ANGELES,90037-3247,4800 BROADWAY 90037-3247,,,,424400.0,Grocery & related products,9,01/02/1995,,"(33.9991, -118.2783)",33.9991,-118.2783
0000413585-0001-1,GHALEB A HAMIDEH,FAMILY RANCH MARKET,25926 WESTERN AVENUE,HARBOR CITY,90710-3246,25926 WESTERN 90710-3246,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),15,01/22/1997,,"(33.7874, -118.3075)",33.7874,-118.3075
0000972571-0001-8,A-1 EASTERN-HOMADE PICKLES CO INC,EASTERN PICKLE DIST CO,1832 JOHNSTON STREET,LOS ANGELES,90031-3447,1832 JOHNSTON 90031-3447,,,,424400.0,Grocery & related products,1,06/01/1969,,"(34.0654, -118.2101)",34.0654,-118.2101
0000670022-0001-2,SEA WIN INC,SEA WIN CO,526 STANFORD AVENUE,LOS ANGELES,90013-2123,526 STANFORD 90013-2123,,,,424400.0,Grocery & related products,14,08/07/1988,,"(34.0421, -118.2416)",34.0421,-118.2416
0000005700-0001-2,JOSE F COTA GERALDO/ESPERANZA GERALDO,GERALDO'S MEAT MARKET INC,11201 WILMINGTON AVENUE,LOS ANGELES,90059-1245,11201 WILMINGTON 90059-1245,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),15,06/23/2003,,"(33.9334, -118.239)",33.9334,-118.239
0000513847-0001-6,OCEAN JEWELS LTD,JULIE HARMAN,558 TOWNE AVENUE,LOS ANGELES,90013-2127,558 TOWNE 90013-2127,POST OFFICE BOX #17,SANTA MONICA,90406-0017,424400.0,Grocery & related products,14,07/01/1997,,"(34.0419, -118.2429)",34.0419,-118.2429
0000235368-0001-8,UMINA BROS INC,,1601 E OLYMPIC BLVD #405,LOS ANGELES,90021-1943,1601 OLYMPIC 90021-1943,,,,445230.0,Fruit & vegetable markets,14,11/01/1972,,"(34.03, -118.2418)",34.03,-118.2418
0002562140-0001-1,NOWHERE PARTNERS CORPORATION,EREWHON NATURAL FOODS MARKET,7660 BEVERLY BLVD UNIT #A,LOS ANGELES,90036-2734,7660 BEVERLY 90036-2734,7660 BEVERLY BLVD UNIT #B,LOS ANGELES,90036-2734,445100.0,Grocery stores (including supermarkets & convenience stores without gas),4,04/01/2011,,"(34.0761, -118.3568)",34.0761,-118.3568
0000363370-0001-5,SOVRANA TRADING CORP,,14928 S FIGUEROA STREET,GARDENA,90248-1711,14928 FIGUEROA 90248-1711,,,,424400.0,Grocery & related products,15,04/01/1996,,"(33.8963, -118.2831)",33.8963,-118.2831
0000491841-0001-0,TRINH DINH TRAN,TDT COMUNITY MARKET,814 W GARDENA BLVD,GARDENA,90247-4904,814 GARDENA 90247-4904,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),15,07/15/1997,,"(33.8816, -118.2896)",33.8816,-118.2896
0002480713-0001-5,LEONARDO GARCIA,,1544 W 85TH STREET,LOS ANGELES,90047-5414,1544 85TH 90047-5414,,,,424400.0,Grocery & related products,8,01/01/2005,,"(33.9609, -118.3034)",33.9609,-118.3034
0000554962-0001-1,MARJAN KHOYI,LILLY'S GASTRONOMIA ITALIANA,3519 W COMMONWEALTH AVENUE,FULLERTON,92833-2843,3519 COMMONWEALTH 92833-2843,,,,424400.0,Grocery & related products,0,01/01/1990,,"(33.87, -117.9738)",33.87,-117.9738
0002757066-0001-8,MANMOHAN JIT SINGH,RALPH COUNTRY STORE,4627 YORK BLVD,LOS ANGELES,90041-3331,4627 YORK 90041-3331,,,,445210.0,Meat markets,1,06/16/2014,,"(34.123, -118.2153)",34.123,-118.2153
0002390415-0001-1,SOVAN KOY,USA DONUTS,1841 W 6TH STREET,LOS ANGELES,90057-3101,1841 6TH 90057-3101,,,,424400.0,Grocery & related products,1,03/01/2008,,"(34.0584, -118.2724)",34.0584,-118.2724
0000185753-0001-1,VINELAND FRESH PRODUCE INC.,VINELAND FRESH PRODUCE,11009 BURBANK BLVD #124,N HOLLYWOOD,91601-5748,11009 BURBANK 91601-5748,,,,445230.0,Fruit & vegetable markets,2,02/01/2002,,"(34.1721, -118.3707)",34.1721,-118.3707
0000164747-0001-5,"MATEO'S ICE CREAM & FRUIT BARS, INC.",MATEO'S ICE CREAM & FRUITY BARS,4234 W PICO BLVD,LOS ANGELES,90019-3161,4234 PICO 90019-3161,4929 SEPULVEDA BLVD,CULVER CITY,90230-5264,424400.0,Grocery & related products,10,06/13/2000,,"(34.0478, -118.3273)",34.0478,-118.3273
0000358292-0001-3,BALJINDER KAUR SINGH ET AL,DESOTO MINI MARKET,9111 DE SOTO AVENUE #A,CHATSWORTH,91311-4966,9111 DE SOTO 91311-4966,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),12,04/16/1996,,"(34.2358, -118.5885)",34.2358,-118.5885
0002113392-0001-8,L.A. GARLIC & SPICE INC,,1340 E OLYMPIC BLVD,LOS ANGELES,90021-1907,1340 OLYMPIC 90021-1907,POST OFFICE BOX #21371,LOS ANGELES,90021-0371,424400.0,Grocery & related products,14,01/12/2006,,"(34.0317, -118.2437)",34.0317,-118.2437
0000146940-0001-1,AARON TURCIO,,2915 MANITOU AVENUE,LOS ANGELES,90031-3008,2915 MANITOU 90031-3008,,,,445230.0,Fruit & vegetable markets,1,07/14/1994,,"(34.0719, -118.2114)",34.0719,-118.2114
0000771411-0001-0,URTH CAFFE CORPORATION,URTH CAFFE,451 S HEWITT STREET,LOS ANGELES,90013-2215,451 HEWITT 90013-2215,,,,424400.0,Grocery & related products,14,09/01/2003,,"(34.0425, -118.2351)",34.0425,-118.2351
0000194919-0001-9,JESUS B/TERESA RAMIREZ,J T RAMIREZ MARKET,736 S SOTO STREET,LOS ANGELES,90023-1321,736 SOTO 90023-1321,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),14,07/15/1995,,"(34.0348, -118.2153)",34.0348,-118.2153
0000730849-0001-7,WILLIAM YOUNG WON KIM,SHOW PLACE LIQUOR,3401 VENICE BLVD,LOS ANGELES,90019-6116,3401 VENICE 90019-6116,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),10,09/01/2002,,"(34.0435, -118.3213)",34.0435,-118.3213
0002599253-0001-6,MANU KUNPU,BILLS LIQUOR & JR MARKET,5332 W SUNSET BLVD,LOS ANGELES,90027-5698,5332 SUNSET 90027-5698,,,,424400.0,Grocery & related products,13,02/10/2012,,"(34.0981, -118.306)",34.0981,-118.306
0000990857-0001-1,SEUNG HWAN/SINOK KOO,SUPER MERCADO LATINO MARKET,1049 W MARTIN LUTHER KING JR BLVD,LOS ANGELES,90037-1816,1049 MARTIN LUTHER KING JR 90037-1816,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),9,08/04/2000,,"(34.0108, -118.2933)",34.0108,-118.2933
0000415399-0001-1,YOUNG SOON KIM,,656 S LOS ANGELES STREET LOBBY,LOS ANGELES,90014-2100,656 LOS ANGELES 90014-2100,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),14,01/01/1996,,"(34.0438, -118.2497)",34.0438,-118.2497
0000954976-0001-5,IBRAHIM ABDULNOUR,MICHAELS MARKET,7510 WOODMAN PLACE,VAN NUYS,91405-1544,7510 WOODMAN 91405-1544,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),2,07/04/1997,,"(34.2072, -118.4304)",34.2072,-118.4304
0002552123-0001-1,KING HARVEST PRODUCE INC,,633 S MISSION ROAD,LOS ANGELES,90023-1010,633 MISSION 90023-1010,POST OFFICE BOX #86638,LOS ANGELES,90086-0638,424400.0,Grocery & related products,14,04/04/2011,,"(34.0371, -118.2259)",34.0371,-118.2259
0002620855-0001-0,DOCS NUTRILICIOUS INC,,11420 SANTA MONICA BLVD,LOS ANGELES,90025-8807,11420 SANTA MONICA 90025-8807,148 S ANITA AVENUE,LOS ANGELES,90049-3802,424400.0,Grocery & related products,11,06/01/2012,,"(34.0457, -118.4512)",34.0457,-118.4512
0000590940-0001-1,SUNG RYUL YOO,C & C MARKET,3300 E 8TH STREET,LOS ANGELES,90023-2904,3300 8TH 90023-2904,3300 E 8TH STREET,LOS ANGELES,90023-2904,445100.0,Grocery stores (including supermarkets & convenience stores without gas),14,01/01/1988,,"(34.0225, -118.2069)",34.0225,-118.2069
0002496443-0005-4,KIRAN HUSSAIN,7-ELEVEN 33610A,7858 VAN NUYS BLVD,VAN NUYS,91402-6069,7858 VAN NUYS 91402-6069,POST OFFICE BOX #219088,DALLAS,75221-9088,445100.0,Grocery stores (including supermarkets & convenience stores without gas),6,12/28/2011,,"(34.2137, -118.4487)",34.2137,-118.4487
0002561839-0001-8,MARICELA AVELAR,ANA'S MINI MARKET,5253 S BROADWAY,LOS ANGELES,90037-3848,5253 BROADWAY 90037-3848,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),9,06/01/2011,,"(33.9947, -118.2783)",33.9947,-118.2783
0002593094-0001-5,EUNG HEE LEE,GRAND CENTRAL 97 MARKET,1831 JAMES M WOOD BLVD,LOS ANGELES,90006-3001,1831 JAMES M WOOD 90006-3001,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),1,01/01/2012,,"(34.0522, -118.2764)",34.0522,-118.2764
0000126054-0001-7,GOLDEN STATE SEA FOOD INC,,512 STANFORD AVENUE,LOS ANGELES,90013-2123,512 STANFORD 90013-2123,,,,424400.0,Grocery & related products,14,01/01/2004,,"(34.0423, -118.2413)",34.0423,-118.2413
0000297727-0001-4,SEUNG YIL CHUNG,HANDY MARKET | MANDY MARKET,1438 W 38TH STREET,LOS ANGELES,90062-1241,1438 38TH 90062-1241,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),8,10/02/2003,,"(34.0173, -118.3031)",34.0173,-118.3031
0000374436-0001-0,CUVEE FINE FOOD & WINE INC,CUVEE/COUVAISON,145 S ROBERTSON BLVD,LOS ANGELES,90048-3207,145 ROBERTSON 90048-3207,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),5,07/12/1996,,"(34.0745, -118.3837)",34.0745,-118.3837
0002665141-0001-2,ROSENBERG FUENTES,,1858 W 20TH STREET #9,LOS ANGELES,90007-1100,1858 20TH 90007-1100,,,,445230.0,Fruit & vegetable markets,1,01/02/2012,,"(34.0381, -118.2985)",34.0381,-118.2985
0002199204-0002-9,EL VALLE OAXOAQUENO INC,EL VALLE OAXAQUENO MARKET,1601 S VERMONT AVENUE #105,LOS ANGELES,90006-4541,1601 VERMONT 90006-4541,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),1,04/01/2011,,"(34.0442, -118.2915)",34.0442,-118.2915
0000095047-0001-9,NORTHRIDGE ICE CREAM INC,NORTHRIDGE HOT DOG COMMISARY,19105 PARTHENIA STREET,NORTHRIDGE,91324-3626,19105 PARTHENIA 91324-3626,,,,424400.0,Grocery & related products,12,01/15/2000,,"(34.2282, -118.5492)",34.2282,-118.5492
0002695430-0001-8,J & S MEAT CORPORATION,,8306 WILSHIRE BLVD UNIT #485,BEVERLY HILLS,90211-2304,8306 WILSHIRE 90211-2304,,,,424400.0,Grocery & related products,0,08/01/2013,,"(34.0643, -118.3728)",34.0643,-118.3728
0000407819-0001-1,AVO BAKERY INC,,10665 W VANOWEN STREET,BURBANK,91505-1136,10665 VANOWEN 91505-1136,,,,424400.0,Grocery & related products,2,07/01/1996,,"(34.1939, -118.3628)",34.1939,-118.3628
0002755805-0001-2,MARTHA ODILIA OSORIO SANCHEZ,VICTORIA'S MINI MARKET,6021 S VERMONT AVENUE,LOS ANGELES,90044-3715,6021 VERMONT 90044-3715,1203 ARAPAHOE STREET APARTMENT #3,LOS ANGELES,90006-3568,445100.0,Grocery stores (including supermarkets & convenience stores without gas),9,06/10/2014,,"(33.9852, -118.2914)",33.9852,-118.2914
0002112703-0001-5,GIL PEREZ SERRANO,,425 E VERNON AVENUE,LOS ANGELES,90011-3439,425 VERNON 90011-3439,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),9,05/02/2006,,"(34.0038, -118.2686)",34.0038,-118.2686
0000651428-0001-7,TRIANGLE CATERING INC,,15455 CABRITO ROAD,VAN NUYS,91406-1407,15455 CABRITO 91406-1407,,,,424400.0,Grocery & related products,6,10/01/1962,,"(34.2168, -118.4695)",34.2168,-118.4695
0002509434-0001-2,SARITA YEHUDA,COOKIE-LI,6123 LAURELGROVE AVENUE,NORTH HOLLYWOOD,91606-4618,6123 LAURELGROVE 91606-4618,,,,424400.0,Grocery & related products,2,06/23/2010,,"(34.1816, -118.4008)",34.1816,-118.4008
0000109683-0001-1,HOWARD ROTH,RAY LOU INC,15245 LA MAIDA STREET #301,SHERMAN OAKS,91403-1925,15245 LA MAIDA 91403,,,,424400.0,Grocery & related products,4,03/01/2000,,"(34.1585, -118.4649)",34.1585,-118.4649
0000130295-0001-5,LA ESPANOLA MEAT INC,,25020 DOBLE AVENUE,HARBOR CITY,90710-3155,25020 DOBLE 90710-3155,,,,424400.0,Grocery & related products,15,04/07/1995,,"(33.7974, -118.2917)",33.7974,-118.2917
0002714840-0001-1,PARK FIERRO LLC,MILKFARM,2106 COLORADO BLVD,LOS ANGELES,90041-1222,2106 COLORADO 90041-1222,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),14,12/01/2013,,"(34.139, -118.2126)",34.139,-118.2126
0002421032-0001-0,CAROL KYUNG LEE,,11755 WILSHIRE BLVD #20,LOS ANGELES,90025-1506,11755 WILSHIRE 90025-1506,18558 ROSCOE BLVD #111,NORTHRIDGE,91324-4601,445100.0,Grocery stores (including supermarkets & convenience stores without gas),11,03/19/2009,,"(34.0486, -118.4619)",34.0486,-118.4619
0002545370-0001-7,CENTRAL MINI MARKET INC,CENTRAL MINI MARKET,7325 S CENTRAL AVENUE,LOS ANGELES,90001-2422,7325 CENTRAL 90001-2422,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),9,02/27/2011,,"(33.9736, -118.2564)",33.9736,-118.2564
0002351332-0002-6,RAMIRO TORRES,BROADWAY MINI MARKET AND HARDWARE,8413 S BROADWAY,LOS ANGELES,90003-3342,8413 BROADWAY 90003-3342,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),9,10/19/2011,,"(33.9628, -118.2782)",33.9628,-118.2782
0000641651-0001-6,HAN NAM CHAIN USA INC,HAN NAM CHAIN SUPERMARKET,2740 W OLYMPIC BLVD,LOS ANGELES,90006-2633,2740 OLYMPIC 90006-2633,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),10,05/23/1988,,"(34.0526, -118.2931)",34.0526,-118.2931
0002766758-0001-0,"TRU LIFE FOODS, INC.",,1100 WILSHIRE BLVD SUITE #2908,LOS ANGELES,90017-1967,1100 WILSHIRE 90017,1100 WILSHIRE BLVD SUITE #2908,LOS ANGELES,90017-1967,424400.0,Grocery & related products,1,08/01/2014,,"(34.0523, -118.2633)",34.0523,-118.2633
0000195662-0001-8,JOSE ARCINIEGA/ARMIDA PACHECO,LA MEXICANA TORTILLA,8821 WOODLEY AVENUE,NORTH HILLS,91343-4731,8821 WOODLEY 91343-4731,,,,424400.0,Grocery & related products,12,01/01/2001,,"(34.2308, -118.4851)",34.2308,-118.4851
0002751838-0001-8,RUMGONZ INC,FOUNTAIN MINI MARKET,4878 FOUNTAIN AVENUE,LOS ANGELES,90029-1654,4878 FOUNTAIN 90029-1654,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),13,04/01/2014,,"(34.0954, -118.2954)",34.0954,-118.2954
0000167153-0001-3,MERCADO LATINO INC,,1330 E OLYMPIC BLVD,LOS ANGELES,90021-1907,1330 OLYMPIC 90021-1907,POST OFFICE BOX #6168,EL MONTE,91734-6168,424400.0,Grocery & related products,14,01/03/1985,,"(34.0318, -118.2438)",34.0318,-118.2438
0000310267-0001-1,GREATER L A FOOD SALES INC,,670 MESQUIT STREET,LOS ANGELES,90021-1306,670 MESQUIT 90021,,,,424400.0,Grocery & related products,14,08/17/1987,,"(34.0363, -118.2292)",34.0363,-118.2292
0000210285-0009-0,MRS GOOCHS NATURAL FOOD MARKETS INC,WHOLE FOODS MARKET,19340 RINALDI STREET,NORTHRIDGE,91326-1607,19340 RINALDI 91326-1607,POST OFFICE BOX #684786,AUSTIN,78768-4786,445100.0,Grocery stores (including supermarkets & convenience stores without gas),12,11/01/2001,,"(34.275, -118.5537)",34.275,-118.5537
0000903410-0001-6,ITARCA INC,FLORENTYNAS FRESH PASTA FACTORY,400 WARREN LANE,INGLEWOOD,90302-3116,400 WARREN 90302-3116,400 WARREN LANE,INGLEWOOD,90302-3116,424400.0,Grocery & related products,0,01/01/1992,,"(33.9705, -118.3499)",33.9705,-118.3499
0000735582-0001-1,WICHOS INC,TORITO MARKET,10804 JUNIPER STREET,LOS ANGELES,90059-1326,10804 JUNIPER 90059-1326,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),15,08/01/1989,,"(33.9372, -118.233)",33.9372,-118.233
0000096754-0001-3,FRESH FOOD CONCEPTS INC,ROJOS/SENIOR FELIX'S,6535 CABALLERO BLVD,BUENA PARK,90620-1133,6535 CABALLERO 90620-1133,11215 KNOTT AVENUE SUITE #A,CYPRESS,90630-5495,424400.0,Grocery & related products,0,10/16/1993,,"(33.8658, -118.0197)",33.8658,-118.0197
0002602064-0001-5,GLOBAL SPICES AND PRODUCE INC,,1825 E 22ND STREET,LOS ANGELES,90058-1033,1825 22ND 90058-1033,,,,424400.0,Grocery & related products,14,02/27/2012,,"(34.0163, -118.2391)",34.0163,-118.2391
